timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1762914909577,306,HTTP Request,200,OK,Thread Group 1-1,text,true,,1242,314,8,8,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,88,0,45
1762914909577,88,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,605,157,8,8,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,88,0,45
1762914909665,218,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,637,157,8,8,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,218,0,91
1762914909622,295,HTTP Request,200,OK,Thread Group 1-2,text,true,,1242,314,8,8,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,88,0,44
1762914909622,88,HTTP Request-0,301,Moved Permanently,Thread Group 1-2,text,true,,605,157,8,8,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,88,0,44
1762914909710,207,HTTP Request-1,200,OK,Thread Group 1-2,text,true,,637,157,8,8,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,207,0,84
1762914909660,312,HTTP Request,200,OK,Thread Group 1-3,text,true,,1242,314,8,8,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,100,0,51
1762914909660,100,HTTP Request-0,301,Moved Permanently,Thread Group 1-3,text,true,,605,157,8,8,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,100,0,51
1762914909761,211,HTTP Request-1,200,OK,Thread Group 1-3,text,true,,637,157,8,8,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,211,0,89
1762914909698,306,HTTP Request,200,OK,Thread Group 1-4,text,true,,1242,314,8,8,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,92,0,46
1762914909698,92,HTTP Request-0,301,Moved Permanently,Thread Group 1-4,text,true,,605,157,8,8,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,92,0,46
1762914909790,214,HTTP Request-1,200,OK,Thread Group 1-4,text,true,,637,157,8,8,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,214,0,91
1762914909741,299,HTTP Request,200,OK,Thread Group 1-5,text,true,,1242,314,8,8,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,92,0,46
1762914909741,92,HTTP Request-0,301,Moved Permanently,Thread Group 1-5,text,true,,605,157,8,8,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,92,0,46
1762914909834,206,HTTP Request-1,200,OK,Thread Group 1-5,text,true,,637,157,8,8,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,206,0,86
1762914909782,305,HTTP Request,200,OK,Thread Group 1-6,text,true,,1242,314,8,8,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,93,0,46
1762914909782,93,HTTP Request-0,301,Moved Permanently,Thread Group 1-6,text,true,,605,157,8,8,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,93,0,46
1762914909875,212,HTTP Request-1,200,OK,Thread Group 1-6,text,true,,637,157,8,8,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,212,0,93
1762914909820,309,HTTP Request,200,OK,Thread Group 1-7,text,true,,1242,314,8,8,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,82,0,41
1762914909820,82,HTTP Request-0,301,Moved Permanently,Thread Group 1-7,text,true,,605,157,8,8,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,82,0,41
1762914909902,227,HTTP Request-1,200,OK,Thread Group 1-7,text,true,,637,157,8,8,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,227,0,95
1762914909862,305,HTTP Request,200,OK,Thread Group 1-8,text,true,,1242,314,8,8,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,90,0,44
1762914909862,90,HTTP Request-0,301,Moved Permanently,Thread Group 1-8,text,true,,605,157,8,8,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,90,0,44
1762914909952,215,HTTP Request-1,200,OK,Thread Group 1-8,text,true,,637,157,8,8,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,215,0,91
1762914909898,315,HTTP Request,200,OK,Thread Group 1-9,text,true,,1242,314,8,8,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,97,0,48
1762914909898,97,HTTP Request-0,301,Moved Permanently,Thread Group 1-9,text,true,,605,157,8,8,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,97,0,48
1762914909996,217,HTTP Request-1,200,OK,Thread Group 1-9,text,true,,637,157,8,8,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,217,0,92
1762914909938,311,HTTP Request,200,OK,Thread Group 1-10,text,true,,1242,314,8,8,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,93,0,45
1762914909938,93,HTTP Request-0,301,Moved Permanently,Thread Group 1-10,text,true,,605,157,8,8,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,93,0,45
1762914910031,218,HTTP Request-1,200,OK,Thread Group 1-10,text,true,,637,157,8,8,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,218,0,93
1762914909982,313,HTTP Request,200,OK,Thread Group 1-11,text,true,,1242,314,8,8,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,85,0,43
1762914909982,85,HTTP Request-0,301,Moved Permanently,Thread Group 1-11,text,true,,605,157,8,8,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,85,0,43
1762914910067,228,HTTP Request-1,200,OK,Thread Group 1-11,text,true,,637,157,8,8,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,228,0,97
1762914910018,298,HTTP Request,200,OK,Thread Group 1-12,text,true,,1242,314,8,8,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,97,0,48
1762914910018,97,HTTP Request-0,301,Moved Permanently,Thread Group 1-12,text,true,,605,157,8,8,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,97,0,48
1762914910115,201,HTTP Request-1,200,OK,Thread Group 1-12,text,true,,637,157,8,8,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,201,0,83
1762914910062,308,HTTP Request,200,OK,Thread Group 1-13,text,true,,1242,314,8,8,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,85,0,43
