timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1762914986776,350,HTTP Request,200,OK,Thread Group 1-1,text,true,,1242,314,12,12,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,145,0,102
1762914986776,145,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,605,157,12,12,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,145,0,102
1762914986921,205,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,637,157,12,12,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,205,0,84
1762914986809,335,HTTP Request,200,OK,Thread Group 1-2,text,true,,1242,314,12,12,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,117,0,72
1762914986809,117,HTTP Request-0,301,Moved Permanently,Thread Group 1-2,text,true,,605,157,12,12,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,117,0,72
1762914986926,218,HTTP Request-1,200,OK,Thread Group 1-2,text,true,,637,157,12,12,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,218,0,80
1762914986840,328,HTTP Request,200,OK,Thread Group 1-3,text,true,,1242,314,12,12,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,95,0,47
1762914986840,95,HTTP Request-0,301,Moved Permanently,Thread Group 1-3,text,true,,605,157,12,12,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,95,0,47
1762914986935,233,HTTP Request-1,200,OK,Thread Group 1-3,text,true,,637,157,12,12,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,233,0,98
1762914986870,315,HTTP Request,200,OK,Thread Group 1-4,text,true,,1242,314,11,11,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,92,0,46
1762914986870,92,HTTP Request-0,301,Moved Permanently,Thread Group 1-4,text,true,,605,157,11,11,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,92,0,46
1762914986962,223,HTTP Request-1,200,OK,Thread Group 1-4,text,true,,637,157,11,11,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,223,0,91
1762914986898,316,HTTP Request,200,OK,Thread Group 1-5,text,true,,1242,314,11,11,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,96,0,48
1762914986898,96,HTTP Request-0,301,Moved Permanently,Thread Group 1-5,text,true,,605,157,11,11,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,96,0,48
1762914986994,220,HTTP Request-1,200,OK,Thread Group 1-5,text,true,,637,157,11,11,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,220,0,95
1762914986929,297,HTTP Request,200,OK,Thread Group 1-6,text,true,,1242,314,10,10,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,81,0,40
1762914986929,81,HTTP Request-0,301,Moved Permanently,Thread Group 1-6,text,true,,605,157,10,10,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,81,0,40
1762914987010,216,HTTP Request-1,200,OK,Thread Group 1-6,text,true,,637,157,10,10,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,216,0,91
1762914986957,303,HTTP Request,200,OK,Thread Group 1-7,text,true,,1242,314,11,11,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,90,0,44
1762914986957,90,HTTP Request-0,301,Moved Permanently,Thread Group 1-7,text,true,,605,157,11,11,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,90,0,44
1762914987047,213,HTTP Request-1,200,OK,Thread Group 1-7,text,true,,637,157,11,11,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,213,0,92
1762914986990,304,HTTP Request,200,OK,Thread Group 1-8,text,true,,1242,314,11,11,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,90,0,45
1762914986990,90,HTTP Request-0,301,Moved Permanently,Thread Group 1-8,text,true,,605,157,11,11,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,90,0,45
1762914987080,214,HTTP Request-1,200,OK,Thread Group 1-8,text,true,,637,157,11,11,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,214,0,95
1762914987020,317,HTTP Request,200,OK,Thread Group 1-9,text,true,,1242,314,11,11,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,90,0,46
1762914987020,90,HTTP Request-0,301,Moved Permanently,Thread Group 1-9,text,true,,605,157,11,11,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,90,0,46
1762914987111,226,HTTP Request-1,200,OK,Thread Group 1-9,text,true,,637,157,11,11,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,226,0,100
1762914987048,310,HTTP Request,200,OK,Thread Group 1-10,text,true,,1242,314,11,11,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,91,0,46
1762914987048,91,HTTP Request-0,301,Moved Permanently,Thread Group 1-10,text,true,,605,157,11,11,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,91,0,46
1762914987140,218,HTTP Request-1,200,OK,Thread Group 1-10,text,true,,637,157,11,11,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,218,0,95
1762914987081,317,HTTP Request,200,OK,Thread Group 1-11,text,true,,1242,314,11,11,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,86,0,43
